,Prediction,Gold,ASR_BLEU
19,it takes the horses,dont look a gift horse in the mouth,BLEU = 5.88 25.0/16.7/12.5/12.5 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8)
20,got strong and with a start,god helps those who help themselves,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
21,lets have it in wine,a glass of wine will improve your night,BLEU = 5.86 20.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
22,maria elective memories to remarkable products to that region,selective memory to remember good things logic and prudence to not ruin the present,BLEU = 3.25 22.2/6.2/3.6/2.1 (BP = 0.574 ratio = 0.643 hyp_len = 9 ref_len = 14)
23,you were not there but we have a bit of work,we may not be many but we really want to work,BLEU = 8.91 36.4/10.0/5.6/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
24,well i have to take in my ship,well i have to continue repairing my ship,BLEU = 41.11 75.0/57.1/33.3/20.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
25,like this is like this,i like you with this slip so shiny,BLEU = 6.97 40.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
26,apprehensive principles is exigible in this case,in this case a statement of principles is enforceable,BLEU = 23.10 71.4/50.0/20.0/12.5 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
27,makes a fire always mind something,i always forget about something when i pack my bags,BLEU = 4.96 33.3/10.0/6.2/4.2 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10)
28,may be a new species because it is not found,probably a new species because i cant find it,BLEU = 27.78 50.0/33.3/25.0/14.3 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
29,in the darkness of the night under the storm,looking each other in the darkness of the night under the rain,BLEU = 61.86 88.9/87.5/85.7/83.3 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
30,well i must return to my ship,well i need to go back to repair my ship,BLEU = 12.79 71.4/33.3/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
31,come on use your legs,up use your legs,BLEU = 39.76 60.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
32,and the silver ones to do the same,do not put the dog and cat in the same plate,BLEU = 9.55 62.5/14.3/8.3/5.0 (BP = 0.687 ratio = 0.727 hyp_len = 8 ref_len = 11)
33,for works dont give you anything,dont count your chickens before they hatch,BLEU = 6.87 16.7/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
34,in the life of the school they starts a life,when schooling ends the schooling of life begins,BLEU = 5.52 30.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
35,she says that he will have to look for a member,he says he wants to get thinner before the summer,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
36,ulysses jumping to the sea is like,ulises throwing ourselves into the sea is like,BLEU = 35.64 57.1/50.0/40.0/25.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
37,oh you are the doctor i have been disturbing you,uh postponed meeting hey will you take a look at all these gifts,BLEU = 3.11 10.0/5.6/3.1/1.8 (BP = 0.741 ratio = 0.769 hyp_len = 10 ref_len = 13)
38,from the popular pill,like father like son,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
39,martins saving reason that hasnt gone,what goes around comes around,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
40,half a loaf is my favourite,in the absence of good men my father was turned to mayor,BLEU = 2.99 16.7/10.0/6.2/4.2 (BP = 0.368 ratio = 0.500 hyp_len = 6 ref_len = 12)
41,the vallela makes the port,la dalia maybe she remains in the harbor,BLEU = 5.86 20.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
42,it is carbonic,bye beautiful face,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
43,come down know his work,calm down they know their business,BLEU = 10.40 40.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
44,immersed in the fog of the past and was overwhelming,plunged into the fog of the past and savored the pleasure of memories,BLEU = 38.30 60.0/55.6/50.0/42.9 (BP = 0.741 ratio = 0.769 hyp_len = 10 ref_len = 13)
45,he was buried in two weeks,i found them in your jackets pocket,BLEU = 6.87 16.7/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
46,cat with great bridge,you have to get your hands dirty,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
47,but you know that they will always have a special place for you,but you know he will always have an special place for you,BLEU = 35.74 76.9/58.3/36.4/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
48,to make the love of love we must come into the south,to make good love you have to go down south,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
49,the cypress flowers are buried in the old red,all the mad people are locked up at the old market,BLEU = 9.08 44.4/12.5/7.1/4.2 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
50,it is possible that they have gone,is it possible that they have been killed,BLEU = 39.44 85.7/50.0/40.0/25.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
51,what of the councillor,what speech did the counselor make,BLEU = 11.52 50.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
52,hows his house,how many cars you have had,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6)
53,stop the one who has located and start from scratch,erase the past and start from scratch,BLEU = 27.78 50.0/33.3/25.0/14.3 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
54,the vacations a vacation,holiday endings suck,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3)
55,you could go out from the shack the second one was ready,i wasnt able to get out of the shack as if that pain hadnt been seen,BLEU = 5.37 25.0/9.1/5.0/2.8 (BP = 0.717 ratio = 0.750 hyp_len = 12 ref_len = 16)
56,no no,shut up girl,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
57,as a family like always,on family as if it was christmas eve,BLEU = 6.97 40.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
58,at the end of the moment whispered most in contribution whispered to my ear,after a moment with a passionate and soft voice he whispered to my ear,BLEU = 18.80 35.7/23.1/16.7/9.1 (BP = 1.000 ratio = 1.000 hyp_len = 14 ref_len = 14)
59,when he was not granted to pick up glasses from my daughter,wouldnt have risked to take the glasses for my daughter,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
60,give man or praise we will lose the plain,hurry up or well miss the plane,BLEU = 5.67 22.2/6.2/3.6/2.1 (BP = 1.000 ratio = 1.286 hyp_len = 9 ref_len = 7)
61,i have not come for you,i heard that jackass,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
62,it was also,everything was going so well,BLEU = 14.13 33.3/25.0/25.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5)
63,ive won with hard least,what the eye does not see the heart does not grieve over,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.247 ratio = 0.417 hyp_len = 5 ref_len = 12)
64,you remember when i matched,do you remember when did he take that picture,BLEU = 17.87 60.0/50.0/33.3/25.0 (BP = 0.449 ratio = 0.556 hyp_len = 5 ref_len = 9)
65,this a grammar is the most used by the young man,instagram is the most used application by young people,BLEU = 25.97 54.5/30.0/22.2/12.5 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
66,for the midnight and for the midnight,for a midnight hunger,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.750 hyp_len = 7 ref_len = 4)
67,morse coming no no,in morse code no the important thing,BLEU = 8.97 50.0/16.7/12.5/12.5 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
68,i was close again,i was close to getting scared that time,BLEU = 21.87 75.0/66.7/50.0/50.0 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8)
69,i was there i played and lost,i was there i have played and i have lost,BLEU = 33.10 100.0/66.7/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
70,another manoeuvre of this kind come on and not make you kill me,another stunt like that cowboy and youre going to get us killed,BLEU = 3.67 15.4/4.2/2.3/1.2 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
71,afore day there were more contents,more and more containers arrive each day at home,BLEU = 5.85 33.3/10.0/6.2/4.2 (BP = 0.607 ratio = 0.667 hyp_len = 6 ref_len = 9)
72,taking and ill,bring an oil lamp here,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5)
73,this is a lot of radio,this angers me so much,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
74,apollo red is paid,pablo touches the grid all day,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
75,its better to see in his bad leg,better to bend than to break,BLEU = 11.04 25.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.333 hyp_len = 8 ref_len = 6)
76,it is usually passed with the securities,that is what usually happens with abductions,BLEU = 8.64 42.9/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
77,its just as not something with my sister,i dont date with my sisters boyfriends,BLEU = 11.04 25.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
78,shall i go into the club,vest and to the club,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
79,we are good together,we are fine together,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
80,chapter twenty,chapter twenty nine,BLEU = 60.65 100.0/100.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
81,i have said for sixteen minutes,i have been death sixteen minutes,BLEU = 22.96 66.7/40.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
82,it was beautiful as a bastard of caesars borgia,he was as beautiful as a bastard of césar borgia,BLEU = 43.44 77.8/50.0/42.9/33.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
83,stands out of a bad lady,i changed my stun laser into kill mode,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
84,ready for a movie,what a boring movie,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
85,on your own and follow my command o k,on his own and listed to my order okay,BLEU = 11.34 44.4/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
86,you could make the tests of the test,could you give me the answers of the test,BLEU = 21.57 75.0/28.6/16.7/10.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
87,when poverty comes in the door the love comes for the window,when poverty enters through the door love jumps out from the window,BLEU = 12.19 58.3/27.3/5.0/2.8 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
88,i found a millionaire sores,i am so happy you are not a dinosaur,BLEU = 5.71 40.0/12.5/8.3/6.2 (BP = 0.449 ratio = 0.556 hyp_len = 5 ref_len = 9)
89,thats the window,turn on the fan,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
90,then it is probable,then it is possible,BLEU = 59.46 75.0/66.7/50.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
91,chapters fifteen and sixteen of sonata de esthetico remount maria of valet inclin,chapter fifteen and sixteen of sonata de estio by ramon maria del valle inclan,BLEU = 36.62 53.8/41.7/36.4/30.0 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14)
92,he returned to it and with nina cholera,i turned my back and i found mrs chole,BLEU = 4.87 12.5/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
93,palamaras thats not my problem,palomares that is not my problem,BLEU = 32.56 60.0/50.0/33.3/25.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
94,walter and schuyler white had a status in the ramble,walter and skyler white should have a human statue at the rambla,BLEU = 8.64 50.0/11.1/6.2/3.6 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
95,what are you trying to do nothing,what are you trying to do nothing,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
96,we are flowed with new ones and i ask you for us,we are outpouring with the new people and he asks me a riding school,BLEU = 7.21 41.7/9.1/5.0/2.8 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14)
97,now they were tired,im not interested in you anymore,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
98,lets go friend lets go,come on friend come on,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
99,every day they post more than table,the amount of homework they give us increases every day,BLEU = 9.47 42.9/16.7/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
