,Prediction,Gold,ASR_BLEU
22,numerous species,as well as eponyms particularly from many other species,BLEU = 1.51 50.0/50.0/0.0/0.0 (BP = 0.030 ratio = 0.222 hyp_len = 2 ref_len = 9)
23,for bessie,sorbus s u b g,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 2 ref_len = 5)
24,the pliers of the mucrosas minion the vigilance parade des semblances,the mucosal folds are reduced the vaginal walls are more even,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
25,this option is even more difficult for a modern audience,this is the least difficult option for the customs of modern audiences,BLEU = 5.38 60.0/5.6/3.1/1.8 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
26,i want to stay here,for my temple not to burst,BLEU = 8.75 20.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
27,the fairies are forming tonics for orphans,lament and ground bass give this aria its shape,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
28,cuba was extinct from the superior cylinder to the inferior,a tube is extended from the superior cylinder to the inferior one,BLEU = 52.31 70.0/66.7/62.5/57.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
29,its name is the name of the basque,his name is a tribute to lewis carroll,BLEU = 11.04 25.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
30,fortunately the space is very different,fortunately the space is very different,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
31,a new direction was besieged to all the projects that cossacks had appointed,the new management was opposite to all the projects jrushchov had supported,BLEU = 22.24 53.8/25.0/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
32,central seats in the grand canaria palms,the headquarter is in las palmas in gran canaria,BLEU = 6.50 42.9/8.3/5.0/3.1 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
33,and hiccuptass fimbria lycosa,he then replies welcome yuko san,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
34,the composition leads to the transformed diffusion,this decomposition leads to the fourier transform,BLEU = 24.45 42.9/33.3/20.0/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
35,is the station located more to the east of the whole natural system,it is the station located further west of the entire metro system,BLEU = 23.90 53.8/33.3/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
36,with all its crosses there were a total of twenty eight million people,in all his crusades a total of twenty eight million people participated,BLEU = 48.63 61.5/50.0/45.5/40.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
37,ani have you taken the toast to the chief of the amarchus,dani did you take the canopies to the girl from the hammocks,BLEU = 8.52 41.7/9.1/5.0/2.8 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
38,pass the hours and nobody has done the job of laying the plates,hours go by and nobody even tries to wash the dishes,BLEU = 7.35 30.8/8.3/4.5/2.5 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11)
39,sacrilege,richard stahler sholk,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 1 ref_len = 3)
40,this was the principle of its decline,this was the beginning of their descent,BLEU = 26.27 57.1/33.3/20.0/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
41,however tanya suffered a blow and the project was suspended,however tandy had an abortion and the project got suspended,BLEU = 17.75 50.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
42,grand mestralici was a defender to be served in his band,the grand master elected the defender to join his band,BLEU = 11.21 45.5/20.0/5.6/3.1 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
43,when he was a student of the andino college he organized his first debate of models,when she was still a student in colegio andino she organized her first fashion show,BLEU = 6.69 43.8/6.7/3.6/1.9 (BP = 1.000 ratio = 1.067 hyp_len = 16 ref_len = 15)
44,sometimes its a little arrogant and an artistic especially if its gone,he sometimes tends to be a bit arrogant and narcissist specially when hes winning,BLEU = 6.82 33.3/9.1/5.0/2.8 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14)
45,these bows were known with the name of deuceus for the truth,these judicial trials became known as truth trials,BLEU = 4.46 25.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.500 hyp_len = 12 ref_len = 8)
46,besides there are the churches of christian denomination,in addition there are other christian churches,BLEU = 13.13 50.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
47,church suffered various modifications the length of history,the church has experienced several changes throughout its history,BLEU = 6.41 37.5/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
48,his automaton for its design,its a unique station thanks to its design,BLEU = 11.73 40.0/25.0/16.7/12.5 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
49,most of its inhabitants are indigenous,indigenous people make up for the most of its inhabitants,BLEU = 27.59 83.3/60.0/50.0/33.3 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10)
50,they were automatically falsified in the amphibia canada the united states and costa rica,the host canada united states and costa rica qualified automatically,BLEU = 29.90 57.1/30.8/25.0/18.2 (BP = 1.000 ratio = 1.400 hyp_len = 14 ref_len = 10)
51,he repeated this and several times although he was relegated in the assumatory for his companion,he repeated this on several occasions but was outperformed by his race partner in the final score,BLEU = 12.09 50.0/20.0/7.1/3.8 (BP = 0.939 ratio = 0.941 hyp_len = 16 ref_len = 17)
52,the matches are established in a hierarchy that determines the right to the power,the males establish a hierarchy that determines the right to mate,BLEU = 44.71 57.1/46.2/41.7/36.4 (BP = 1.000 ratio = 1.273 hyp_len = 14 ref_len = 11)
53,during the sixties he participated in various campaigns and manifestations,during the sixties he participated in several peasants protest march,BLEU = 51.70 60.0/55.6/50.0/42.9 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
54,tune piana the guitar is still botcher,he plays piano guitar and the bass,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
55,these factors facilitate simulation,these factors make assimilation easier to be achieved,BLEU = 11.75 50.0/33.3/25.0/25.0 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8)
56,it offers an amplified and integrated form of vision that covers economic social and environmental aspects,it offers a broad and integrated forestry perspective that covers economic social and environmental aspects,BLEU = 44.80 68.8/53.3/35.7/30.8 (BP = 1.000 ratio = 1.067 hyp_len = 16 ref_len = 15)
57,isaac is permitted to do things with the defences,his her body allows him her to dodge the defenses easily,BLEU = 4.54 22.2/6.2/3.6/2.1 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
58,as a student he was among the founders of the association of the american essayist,as student she was one of the founders of the american asiatic student body association,BLEU = 26.01 66.7/35.7/23.1/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 15 ref_len = 15)
59,the posterior attachment made during a severe winter was a complete disaster,the posterior withdrawal made during a hard winter was a complete disaster,BLEU = 46.60 83.3/63.6/40.0/22.2 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
60,the co ordination of sessions is a lecture that animates and modifies debates,the coordinator of the sessions is a reader that cheers and moderates the debates,BLEU = 13.61 61.5/16.7/9.1/5.0 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14)
61,the other world is a game of miniatures of sophia,sphere wars is a strategy figurine game,BLEU = 9.29 30.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
62,in the summer season small dimensions are included in the summer season,during the spring season small size salads are also served and sometimes different types of pickles too,BLEU = 5.31 33.3/9.1/5.0/2.8 (BP = 0.659 ratio = 0.706 hyp_len = 12 ref_len = 17)
63,people came to be nervous they prepared with chalices,people are going to get nervous ready the vests,BLEU = 6.27 33.3/6.2/3.6/2.1 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
64,however the language data present a different panorama,however the linguistic data presents a different panorama,BLEU = 27.05 75.0/42.9/16.7/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
65,see the crimea,lets see with the zipper,BLEU = 17.80 66.7/25.0/25.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5)
66,his art is an excellent one,they make excellent handcraft wine,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
67,its important that when you say you dont like it you dont like it,its important that when i tell you to not move you dont move,BLEU = 21.97 50.0/30.8/16.7/9.1 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13)
68,sequence of complete destruction was known as despoilest despoilist,a complete instructions sequence was known as display list,BLEU = 20.16 55.6/25.0/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
69,station began to mc call when it began as a local programme,the station started to broadcast in color and expanded its local programming,BLEU = 4.46 25.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
70,in his own age the law of the calcutta institute gave him his name,in their honor one classroom in the calculus institute is named after them,BLEU = 3.74 21.4/3.8/2.1/1.1 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13)
71,he directed to new chicago in the first bee national,he coached the nueva chicago team in the first national b,BLEU = 16.81 60.0/22.2/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
72,he fought in the battle of oregon at the front of a cavalry regiment,he fought the great pond war as head of the cavalry regiment,BLEU = 9.24 50.0/15.4/4.2/2.3 (BP = 1.000 ratio = 1.167 hyp_len = 14 ref_len = 12)
73,some of its descendants were coronated as the emperors of german roman succor,some of their descendants were crowned as emperors of the sacred germanic roman empire,BLEU = 10.97 69.2/25.0/4.5/2.5 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14)
74,family as if it was a good night,on family as if it was christmas eve,BLEU = 51.70 62.5/57.1/50.0/40.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
75,he let annie turn in the trays,he led lanier to a undefeated season,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
76,the historical trajectory of the college is complete,the historical development of the school is complex,BLEU = 16.52 62.5/28.6/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
77,he was his first great victor as a profession,that was their first resounding victory as a professional competitor,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
78,study composition and piano in the musical academics of berlin and florence,he studied scoring and piano at the music academies of berlin and florence,BLEU = 24.11 58.3/36.4/20.0/11.1 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
79,he has seen a very nice and strange thing,ive seen something very sweet and strange here,BLEU = 11.34 44.4/12.5/7.1/4.2 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
80,maria antonia is not impeded in this case,maria antonia munar has not been prosecuted for this offence,BLEU = 10.23 50.0/14.3/8.3/5.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
81,he had four legitimate children who appeared in genealogy,he had four illegitimate children who appear in family trees,BLEU = 20.90 66.7/37.5/14.3/8.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
82,for all in shape to be,tubular shaped corolla,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 2.000 hyp_len = 6 ref_len = 3)
83,thus we have a history of love in the market within the historical features,that is how a love story is told to us in the context of historical events,BLEU = 6.48 42.9/7.7/4.2/2.3 (BP = 0.867 ratio = 0.875 hyp_len = 14 ref_len = 16)
84,he is considered the archetypical of nazareth as the religious romanticism of germany,it is considered archetypal of the nazarenes the religious german romanticism,BLEU = 10.05 53.8/16.7/4.5/2.5 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11)
85,he collaborates with several media communications writings and audio visual media,they cooperate with different mass media both written and audiovisual,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
86,it was occupied with important cargoes all along the rivers rampart,he continued holding important positions especially under araozs protection,BLEU = 3.75 9.1/5.0/2.8/1.6 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
87,they are the same with the trosses,they take the pieces themselves with their fingers,BLEU = 7.49 42.9/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
88,the masts of the galleons which are covered with tiles,the dough is stretched until flat thick sheets are obtained and then it is cut into strips,BLEU = 2.48 20.0/5.6/3.1/1.8 (BP = 0.497 ratio = 0.588 hyp_len = 10 ref_len = 17)
89,he is known for the soldiers strategy in real life and brown country,these guys have become known for the realtime strategy series ground control,BLEU = 12.36 30.8/16.7/9.1/5.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
90,since then he had occupied different functions in the older republic democratic and political,within the sahrawi arab democratic republic and the polisario front he then took several positions,BLEU = 4.14 42.9/3.8/2.1/1.1 (BP = 0.931 ratio = 0.933 hyp_len = 14 ref_len = 15)
91,his inevitable,its an unavoidable fact,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 2 ref_len = 4)
92,she said that in carthagena they started building oxides and animals for exploitation of the mines,in cartagena they started to built anonymous societies to exploitation of the mines,BLEU = 18.92 43.8/26.7/14.3/7.7 (BP = 1.000 ratio = 1.231 hyp_len = 16 ref_len = 13)
93,filibeto had the ideas of anarchism,filiberto advocated anarchisms ideas,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
94,hes the first thats in a deep place here and the fall of a woody place here,he is the cousin of ana de palacio and deceased loyola palacio,BLEU = 3.01 17.6/3.1/1.7/0.9 (BP = 1.000 ratio = 1.417 hyp_len = 17 ref_len = 12)
95,finally he extended category as acquirest of the championship,finally it was downgraded as bottom of the championship,BLEU = 20.16 55.6/25.0/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
96,she studied at the university of chicago,she studied at the university of jordan,BLEU = 80.91 85.7/83.3/80.0/75.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
97,why do you want to tie me to the cascade,because ill jump on the waterfall,BLEU = 4.20 10.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.667 hyp_len = 10 ref_len = 6)
98,for then they have been seen as a workman,for that purpose it has to be considered as a working list,BLEU = 7.56 33.3/12.5/7.1/4.2 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
99,during the competition he joined manchester united,during the competence it was linked to the manchester united,BLEU = 12.10 57.1/33.3/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
100,he started a new era in the existence of the institution,with that a new era on the institutions existence began,BLEU = 15.85 45.5/20.0/11.1/6.2 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
101,they concluded that the ogre was succeeding,they figured that something odd was happening,BLEU = 8.64 42.9/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
102,the bargos premises has its installations in the neighbourhood,burgos promesas facilities are located in the neighborhood,BLEU = 9.54 22.2/12.5/7.1/4.2 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
103,andy classify the school in this discipline,burundi qualified as an athlete in this discipline,BLEU = 21.19 42.9/33.3/20.0/12.5 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
104,finally they rose from the ground where andrew was the guard,then they eventually circled fort mary which was the site of andros confinement,BLEU = 6.92 27.3/10.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
105,shrouds and registrations have given credibility to the theory of contributions simply distributed,the intracranial records have lent credence to the theory of widely distributed contributions,BLEU = 22.24 53.8/25.0/18.2/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
106,he received positive reviews for his role in the series,they received positive reviews for their characters on the series,BLEU = 31.24 60.0/44.4/25.0/14.3 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
107,we dont like angelesce where we would interpret connota,we are not angels where she would play the role of carlota,BLEU = 4.50 33.3/6.2/3.6/2.1 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
108,in this area the large residences and the quintas predominate,in this neighborhood big residences and farms prevail,BLEU = 11.87 40.0/22.2/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
109,they took refuge in veneur,they took refuge in geneva,BLEU = 66.87 80.0/75.0/66.7/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
110,many of them have that in the same moment they were born a man,many claim that the name was born at that right moment,BLEU = 4.25 35.7/3.8/2.1/1.1 (BP = 1.000 ratio = 1.273 hyp_len = 14 ref_len = 11)
111,since then he has covered seven olympic games of verona and free world,since then he has been a commentator in seven summer olympic games and three soccer world cups,BLEU = 18.71 69.2/33.3/18.2/10.0 (BP = 0.735 ratio = 0.765 hyp_len = 13 ref_len = 17)
112,he was a member of the association a national of propagandists in the opus day,he used to be a member of the catholic national association of advertisers and opus dei,BLEU = 18.85 60.0/21.4/15.4/8.3 (BP = 0.936 ratio = 0.938 hyp_len = 15 ref_len = 16)
113,it is said i will retire the troops will retire the troops,carter said you either withdraw the troops or ill withdraw the athletes,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
114,at the same time she was very inexpositional,despite wanting to be a porn actress aurora was sexually very inexperienced,BLEU = 3.98 25.0/7.1/4.2/2.5 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12)
115,he died in tokio japan,he died in tokio japan,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
116,he built a monastery met with peregrine,later on a monastery was built which is the destination of pilgrims,BLEU = 7.12 42.9/16.7/10.0/6.2 (BP = 0.490 ratio = 0.583 hyp_len = 7 ref_len = 12)
117,the sombrero was replaced by stephens,gary young was substituted by steve west in the middle of the recording of the album,BLEU = 2.02 50.0/10.0/6.2/4.2 (BP = 0.189 ratio = 0.375 hyp_len = 6 ref_len = 16)
118,no lecturer could have been suspended,none lecture if the are is breathable,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
119,are you doing here for the day,what did you do yesterday evening,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
120,session will be at charleroi to morrow,the session will be help at closed doors,BLEU = 22.77 57.1/33.3/20.0/12.5 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
121,capsule was crowded,grodno was the capital,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
122,he has a seat in london pray,it is based in london great britain,BLEU = 13.13 28.6/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
123,this was another thing,that was different,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3)
124,the traditional important tradition of the economy is the agriculture of natal,date agriculture is an important traditional branch of economy,BLEU = 5.30 50.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.333 hyp_len = 12 ref_len = 9)
125,thats where youre going to start your bus,at what time the bus arrives this afternoon,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
126,since then kevin became the enrollment of new france,since then quebec became the heart of new france,BLEU = 26.08 77.8/50.0/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
127,a second time white crystals are found in a clear liquid,once melted down the white crystals become a clear liquid,BLEU = 17.54 45.5/30.0/11.1/6.2 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
128,lys and bolivia and columbia,it leaves in bolivia and colombia,BLEU = 17.49 40.0/25.0/16.7/12.5 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
129,the european transport is very contaminated,urban transport is very polluting,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
130,prestigious group of twenty european universities is focused on research,twenty prestigious european universities focused on scientific research,BLEU = 13.65 70.0/22.2/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
131,the cramming of the monument disappeared and it was replaced by a cross of the forges of the river,the monuments crown disappeared and was replaced by a wrought iron cross,BLEU = 16.20 42.1/22.2/11.8/6.2 (BP = 1.000 ratio = 1.583 hyp_len = 19 ref_len = 12)
132,is not a respiratory system that has been used for assimilation,they dont have a respiratory system due to their parasitical lifestyle,BLEU = 13.95 27.3/20.0/11.1/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
133,the majority of the conscripts didnt want to see the maintenance of the union,most draftees did not fly nor carried out the maintenance of aircrafts,BLEU = 10.57 21.4/15.4/8.3/4.5 (BP = 1.000 ratio = 1.167 hyp_len = 14 ref_len = 12)
134,for the general they were armed with stone pumps feet and feet,they are generally armed with stones sticks bats and firecrackers,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
135,create and raise a house it is a very complete and personal discord,recorded at razor home its a very personal and complete album,BLEU = 7.77 38.5/8.3/4.5/2.5 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11)
136,usually the most important is the ultra tumba that lives in the terreno life,it usually attaches more importance to the afterlife than to life on earth,BLEU = 3.74 21.4/3.8/2.1/1.1 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13)
137,the utility of the psalters that are fretted from the old devonshire of the fish in kiyota,old highwaymen are tired of the adventurous life and angry of the uncertain loot,BLEU = 7.16 35.3/12.5/3.3/1.8 (BP = 1.000 ratio = 1.214 hyp_len = 17 ref_len = 14)
138,harridan loves in timbre,charity and love without noise,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
139,he resides in the city of sols lake city utah united states,he was located in salt lake city utah united states,BLEU = 34.48 58.3/36.4/30.0/22.2 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
140,the courier commissioned as james simpson,james simpson is the current commissioner,BLEU = 17.97 50.0/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
141,there are some equals,in addition it solves some equalities,BLEU = 9.69 25.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
142,there has been more than one million in the middle of the united states,he had sold more than a million and a half units,BLEU = 6.29 21.4/7.7/4.2/2.3 (BP = 1.000 ratio = 1.273 hyp_len = 14 ref_len = 11)
143,in the second album tito plenato columbia,planeta kumbia is their second album containing it,BLEU = 11.39 28.6/16.7/10.0/6.2 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
